date,height
2005-01-03,1613.0
2005-01-04,1598.0
2005-01-05,1563.0
2005-01-06,1547.0
2005-01-07,1595.0
2005-01-08,1676.0
2005-01-09,1711.0
2005-01-10,1764.0
2005-01-11,1721.0
2005-01-12,1717.0
2005-01-13,1750.0
2005-01-14,1686.0
2005-01-15,1782.0
2005-01-16,1916.0
2005-01-17,1835.0
2005-01-18,1817.0
2005-01-19,1838.0
2005-01-20,1797.0
2005-01-21,1897.0
2005-01-22,1906.0
2005-01-23,1602.0
2005-01-24,1683.0
2005-01-25,1767.0
2005-01-26,1812.0
2005-01-27,1810.0
2005-01-28,1902.0
2005-01-29,1911.0
2005-01-30,1873.0
2005-01-31,1848.0
2005-02-01,1936.0
2005-02-02,1994.0
2005-02-03,1971.0
2005-02-04,1922.0
2005-02-05,1981.0
2005-02-06,1980.0
2005-02-07,1928.0
2005-02-08,1885.0
2005-02-09,1830.0
2005-02-10,1709.0
2005-02-11,1697.0
2005-02-12,1795.0
2005-02-13,1771.0
2005-02-14,1666.0
2005-02-15,1548.0
2005-02-16,1557.0
2005-02-17,1653.0
2005-02-18,1665.0
2005-02-19,1562.0
2005-02-20,1537.0
2005-02-21,1527.0
2005-02-22,1521.0
2005-02-23,1704.0
2005-02-24,1804.0
2005-02-25,1778.0
2005-02-26,1867.0
2005-02-27,2023.0
2005-02-28,2004.0
2005-03-01,1500.0
2005-03-02,1378.0
2005-03-03,1538.0
2005-03-04,1601.0
2005-03-05,1470.0
2005-03-06,1510.0
2005-03-07,1561.0
2005-03-08,1455.0
2005-03-09,1501.0
2005-03-10,1645.0
2005-03-11,1551.0
2005-03-12,1385.0
2005-03-13,1416.0
2005-03-14,1562.0
2005-03-15,1721.0
2005-03-16,1803.0
2005-03-17,1841.0
2005-03-18,1877.0
2005-03-19,1909.0
2005-03-20,1810.0
2005-03-21,1671.0
2005-03-22,1766.0
2005-03-23,1743.0
2005-03-24,1584.0
2005-03-25,1745.0
2005-03-26,1893.0
2005-03-27,2020.0
2005-03-28,1806.0
2005-03-29,1533.0
